competitor_id,name,country,country_code,abbreviation
sr:competitor:407783,"Fearnley, Jacob",Great Britain,GBR,FEA
sr:competitor:94485,"Bonzi, Benjamin",France,FRA,BON
sr:competitor:255595,"Cerundolo, Francisco",Argentina,ARG,CER
sr:competitor:182086,"Bass, Finn",Great Britain,GBR,BAS
sr:competitor:412829,"Matsuda, Ryuki",Japan,JPN,MAT
sr:competitor:222628,"Ayeni, Alafia",USA,USA,AVE
sr:competitor:228372,"Soriano Barrera, Adria",Colombia,COL,SOR
sr:competitor:195458,"Added, Dan",France,FRA,ADD
sr:competitor:163438,"Sun, Fajing",China,CHN,SUN
sr:competitor:263917,"Draxl, Liam",Canada,CAN,DRA
sr:competitor:66086,"Kicker, Nicolas",Argentina,ARG,KIC
sr:competitor:371448,"Llamas Ruiz, Pablo",Spain,ESP,LLA
sr:competitor:55293,"Sabanov, Ivan",Serbia,SRB,SAB
sr:competitor:58989,"Sabanov, Matej",Serbia,SRB,SAB
sr:competitor:722431,"Mikrut, Luka",Croatia,HRV,MIK
sr:competitor:246745,"Tajima, Naoki",Japan,JPN,TAJ
sr:competitor:685379,"Ostapenkov, Daniil",Neutral,,OST
sr:competitor:145112,"Huesler, Marc-Andrea",Switzerland,CHE,HUE
sr:competitor:319353,"Barry, Charles",Ireland,IRL,BAR
sr:competitor:303862,"Johns, Garrett",USA,USA,JOH
sr:competitor:82133,"Dellien, Murkel",Bolivia,BOL,DEV
sr:competitor:378220,"Huertas Del Pino Cordova, Arklon",Peru,PER,HUE
sr:competitor:312440,"Thomson, Connor",Great Britain,GBR,THO
sr:competitor:439474,"Jermar, Jan",Czechia,CZE,JER
sr:competitor:686911,"Poljicak, Mili",Croatia,HRV,POL
sr:competitor:353586,"Fenty, Andrew",USA,USA,FEN
sr:competitor:43761,"Collarini, Andrea",Argentina,ARG,COL
sr:competitor:305558,"Roncadelli, Franco",Uruguay,URY,RON
sr:competitor:77501,"Wehnelt, Kai",Germany,DEU,WEH
sr:competitor:458575,"Agostini, Simone",Italy,ITA,AGO
sr:competitor:447733,"Hands, Tom",Great Britain,GBR,HAN
sr:competitor:389078,"Lalami Laaroussi, Younes",Morocco,MAR,LAL
sr:competitor:457059,"Montes-de la Torre, Inaki",Spain,ESP,MON
sr:competitor:24009,"Betov, Sergey",Belarus,BLR,BET
sr:competitor:177658,"Beauge, Maxence",France,FRA,BEA
sr:competitor:321667,"Mayot, Harold",France,FRA,MAY
sr:competitor:18066,"Basic, Mirza",Bosnia & Herzegovina,BIH,BAS
sr:competitor:287541,"Sweeny, Dane",Australia,AUS,SWE
sr:competitor:588081,"Siniakov, Daniel",Czechia,CZE,SIN
sr:competitor:82579,"Uchida, Kaichi",Japan,JPN,UCH
sr:competitor:395890,"Magadan, Alan",Mexico,MEX,MAG
sr:competitor:99043,"Wang, Aoran",China,CHN,WAN
sr:competitor:47834,"Murray, Jamie",Great Britain,GBR,MUR
sr:competitor:603420,"Martin, Andres",USA,USA,MAR
sr:competitor:115239,"Kaukovalta, Patrick",Finland,FIN,KAU
sr:competitor:768772,"Bar Biryukov, Petr",Neutral,,BAR
sr:competitor:202681,"Marrero Curbelo, Ivan",Spain,ESP,MAR
sr:competitor:538457,"Chopra, Keshav",USA,USA,CHO
sr:competitor:170964,"Bittoun Kouzmine, Constantin",France,FRA,BIT
sr:competitor:369572,"Boulais, Justin",Canada,CAN,BOU
sr:competitor:141882,"Blancaneaux, Geoffrey",France,FRA,BLA
sr:competitor:200873,"Forcano Aparicio, Ignasi",Spain,ESP,FOR
sr:competitor:212004,"Rodionov, Jurij",Austria,AUT,ROD
sr:competitor:273883,"Rocha, Francisco",Portugal,PRT,ROC
sr:competitor:407785,"Murgett, Finn",Great Britain,GBR,MUR
sr:competitor:287543,"Hulme, Matt",Australia,AUS,HUL
sr:competitor:312728,"Stewart, Hamish",Great Britain,GBR,STE
sr:competitor:244388,"Kalyanpur, Adil",India,IND,KAL
sr:competitor:84659,"Recek, Dominik",Czechia,CZE,REC
sr:competitor:494844,"Binda, Alexandr",Italy,ITA,BIN
sr:competitor:353548,"Hernandez, Alex",Mexico,MEX,HER
sr:competitor:92667,"Castelnuovo, Luca",Switzerland,CHE,CAS
sr:competitor:126356,"Munar, Jaume",Spain,ESP,MUN
sr:competitor:266711,"Pavlovic, Luka",France,FRA,PAV
sr:competitor:268441,"Gadamauri, Buvaysar",Belgium,BEL,GAD
sr:competitor:906831,"Vithoontien, Leo",Japan,JPN,VIT
sr:competitor:861461,"Caniato, Carlo Alberto",Italy,ITA,CAN
sr:competitor:750283,"Isomura, Kokoro",Japan,JPN,ISO
sr:competitor:530317,"Rincon, Daniel",Spain,ESP,RIN
sr:competitor:682913,"Rocha, Henrique",Portugal,PRT,ROC
sr:competitor:217192,"Ouakaa, Aziz",Tunisia,TUN,OUA
sr:competitor:686709,"Simakin, Ilia",Neutral,,SIM
sr:competitor:83263,"Santillan, Akira",Japan,JPN,SAN
sr:competitor:605854,"Maxted, Lui",Great Britain,GBR,MAX
sr:competitor:240264,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI
sr:competitor:1080832,"Fuchs, Zachary",USA,USA,FUC
sr:competitor:215778,"Izquierdo Luque, Rafael",Spain,ESP,IZQ
sr:competitor:387066,"Forejtek, Jonas",Czechia,CZE,FOR
sr:competitor:342822,"Ichikawa, Taisei",Japan,JPN,ICH
sr:competitor:441576,"De la Fuente, Santiago",Argentina,ARG,DLF
sr:competitor:1011445,"Exsted, Maxwell",USA,USA,EXS
sr:competitor:284835,"Smith, Keegan",USA,USA,SMI
sr:competitor:322801,"Kalender, Admir",Croatia,HRV,KAL
sr:competitor:318187,"Slavic, Nikola",Sweden,SWE,SLA
sr:competitor:104421,"Mies, Andreas",Germany,DEU,MIE
sr:competitor:223788,"Stepanov, Roy",Israel,ISR,STE
sr:competitor:51345,"Damm Jr, Martin",USA,USA,DAM
sr:competitor:822192,"Poulsen, Oskar Brostrom",Denmark,DNK,POU
sr:competitor:48055,"Hsieh, Cheng-Peng",Chinese Taipei,TPE,HSI
sr:competitor:671637,"Fils, Arthur",France,FRA,FIL
sr:competitor:972327,"Jodar, Rafael",Spain,ESP,JOD
sr:competitor:175014,"Moutet, Corentin",France,FRA,MOU
sr:competitor:117916,"Shapovalov, Denis",Canada,CAN,SHA
sr:competitor:136042,"Fritz, Taylor",USA,USA,FRI
sr:competitor:675175,"McCabe, James",Australia,AUS,MCC
sr:competitor:63438,"McDonald, Mackenzie",USA,USA,MCD
sr:competitor:128552,"Popyrin, Alexei",Australia,AUS,POP
sr:competitor:102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN
sr:competitor:472975,"Bellucci, Mattia",Italy,ITA,BEL
sr:competitor:122366,"Tsitsipas, Stefanos",Greece,GRC,TSI
sr:competitor:337601,"Bu, Yunchaokete",China,CHN,YUN
sr:competitor:39711,"Duckworth, James",Australia,AUS,DUC
sr:competitor:254383,"Marozsan, Fabian",Hungary,HUN,MAR
sr:competitor:763108,"Mensik, Jakub",Czechia,CZE,MEN
sr:competitor:399637,"Cobolli, Flavio",Italy,ITA,COB
sr:competitor:77223,"Martinez, Pedro",Spain,ESP,MAR
sr:competitor:93589,"Kellovsky, Dominik",Czechia,CZE,KEL
sr:competitor:450343,"Hussey, Giles",Great Britain,GBR,HUS
