competitor_id,name,country,country_code,abbreviation
sr:competitor:41475,"Arneodo, Romain",Monaco,MCO,ARN
sr:competitor:230186,"Verbeek, Sem",Netherlands,NLD,VER
sr:competitor:52263,"Hidalgo, Diego",Ecuador,ECU,HID
sr:competitor:45105,"Behar, Ariel",Uruguay,URY,BEH
sr:competitor:16573,"Demoliner, Marcelo",Brazil,BRA,DEM
sr:competitor:16992,"Willis, Marcus",Great Britain,GBR,WIL
sr:competitor:16409,"Ebden, Matthew",Australia,AUS,EBD
sr:competitor:243522,"Paul, Jakub",Switzerland,CHE,PAU
sr:competitor:15307,"Bopanna, Rohan",India,IND,BRO
sr:competitor:49306,"Reyes-Varela, Miguel Angel",Mexico,MEX,REY
sr:competitor:147104,"Romios, Matthew Christopher",Australia,AUS,ROM
sr:competitor:422955,"Sanchez, Luca",France,FRA,SAN
sr:competitor:297448,"Kiger, Mac",USA,USA,KIG
sr:competitor:359602,"Musetti, Lorenzo",Italy,ITA,MUS
sr:competitor:104917,"Vliegen, Joran",Belgium,BEL,VLI
sr:competitor:16198,"Escobar, Gonzalo",Ecuador,ECU,ESC
sr:competitor:973963,"Watt, James",New Zealand,NZL,WAT
sr:competitor:263865,"Reynolds, Finn",New Zealand,NZL,REY
sr:competitor:15588,"Rojer, Jean-Julien",Netherlands,NLD,ROJ
sr:competitor:90798,"Halys, Quentin",France,FRA,HAL
sr:competitor:871495,"Michelsen, Alex",USA,USA,MIC
sr:competitor:104847,"Sonego, Lorenzo",Italy,ITA,SON
sr:competitor:548169,"Yuzuki, Takeru",Japan,JPN,YUZ
sr:competitor:48646,"Barrientos, Nicolas",Colombia,COL,BAR
sr:competitor:614090,"Pieczonka, Filip",Poland,POL,PIE
sr:competitor:121032,"Stalder, Reese",USA,USA,STA
sr:competitor:209202,"Chandrasekar, Anirudh",India,IND,CHA
sr:competitor:180104,"Reymond, Arthur",France,FRA,REY
sr:competitor:240880,"Hilderbrand, Trey",USA,USA,HIL
sr:competitor:295508,"Vrbensky, Michael",Czechia,CZE,VRB
sr:competitor:450383,"Harper, Cleeve",Canada,CAN,HAR
sr:competitor:99377,"Kestelboim, Mariano",Argentina,ARG,KES
sr:competitor:110707,"Pichler, David",Austria,AUT,PIC
sr:competitor:95923,"Paris, Joshua",Great Britain,GBR,PAR
sr:competitor:163538,"Donski, Alexander",Bulgaria,BGR,DON
sr:competitor:808628,"Shelton, Ben",USA,USA,SHE
sr:competitor:628034,"Kittay, Benjamin",USA,USA,KIT
sr:competitor:37637,"Zeballos, Federico",Bolivia,BOL,ZEB
sr:competitor:63606,"Rinderknech, Arthur",France,FRA,RIN
sr:competitor:272245,"Latinovic, Stefan",Serbia,SRB,LAT
sr:competitor:297502,"Bayldon, Blake",Australia,AUS,BAY
sr:competitor:296270,"Stevenson, David",Great Britain,GBR,STE
sr:competitor:918463,"Bollipalli, Rithvik Choudary",India,IND,BOL
sr:competitor:90080,"Khachanov, Karen",Neutral,,KHA
sr:competitor:90110,"Serdarusic, Nino",Croatia,HRV,SER
sr:competitor:111607,"Ingildsen, Johannes",Denmark,DNK,ING
sr:competitor:113889,"Liutarevich, Ivan",Neutral,,LIU
sr:competitor:1015089,"Winegar, Theodore",USA,USA,WIN
sr:competitor:92845,"Goldhoff, George",USA,USA,GOL
sr:competitor:731833,"Kielan, Szymon",Poland,POL,KIE
sr:competitor:157396,"Veldheer, Mick",Netherlands,NLD,VEL
sr:competitor:233144,"Duda, Filip",Czechia,CZE,DUD
sr:competitor:210736,"Lammons, Nathaniel",USA,USA,LAM
sr:competitor:59700,"Isaro, Pruchya",Thailand,THA,ISA
sr:competitor:98413,"Drzewiecki, Karol",Poland,POL,DRZ
sr:competitor:57163,"Zverev, Alexander",Germany,DEU,ZVE
sr:competitor:145936,"Kaliyanda Poonacha, Niki",India,IND,KAL
sr:competitor:73572,"Zormann, Marcelo",Brazil,BRA,ZOR
sr:competitor:53759,"Natarajan, Vijay Sundar Prashanth",India,IND,NVS
sr:competitor:161220,"Pavel, Bogdan",Romania,ROU,PAV
sr:competitor:25458,"Martinez, Luis David",Venezuela,VEN,MAR
sr:competitor:300540,"Machac, Tomas",Czechia,CZE,MAC
sr:competitor:310972,"Banthia, Siddhant",India,IND,BAN
sr:competitor:405969,"Paulson, Andrew",Czechia,CZE,PAU
sr:competitor:98981,"Jecan, Alexandru",Romania,ROU,JEC
sr:competitor:126622,"Ruehl, Tim",Germany,DEU,RUE
sr:competitor:106755,"Rublev, Andrey",Neutral,,RUB
sr:competitor:124708,"Cukierman, Daniel",Israel,ISR,CUK
sr:competitor:158912,"Vacherot, Valentin",Monaco,MCO,VAC
sr:competitor:54609,"Arias, Boris",Bolivia,BOL,ARI
sr:competitor:55989,"Withrow, Jackson",USA,USA,WIT
sr:competitor:42151,"Nam, Ji Sung",Republic of Korea,KOR,NAM
sr:competitor:76361,"Kadhe, Arjun",India,IND,KAD
sr:competitor:380004,"Harper, Patrick",Australia,AUS,HAR
sr:competitor:322589,"Pujol Navarro, Bruno",Spain,ESP,PUJ
sr:competitor:809324,"Pacheco Mendez, Rodrigo",Mexico,MEX,PAC
sr:competitor:880089,"Pereira, Tiago",Portugal,PRT,PER
sr:competitor:628218,"Karol, Milos",Slovakia,SVK,KAR
sr:competitor:55745,"Negritu, Christoph",Germany,DEU,NEG
sr:competitor:113221,"Niklas-Salminen, Patrik",Finland,FIN,NIK
sr:competitor:38180,"Mena, Facundo",Argentina,ARG,MEN
sr:competitor:87690,"Thompson, Jordan",Australia,AUS,THO
sr:competitor:16854,"Molchanov, Denys",Ukraine,UKR,MOL
sr:competitor:390480,"Watanabe, Seita",Japan,JPN,WAT
sr:competitor:505542,"Grevelius, Erik",Sweden,SWE,GRE
sr:competitor:145008,"Uesugi, Kaito",Japan,JPN,UES
sr:competitor:168420,"Andrade, Andres",Ecuador,ECU,AND
sr:competitor:272273,"Mansilla Diez, Mario",Spain,ESP,MAN
sr:competitor:223868,"Matuszewski, Piotr",Poland,POL,MAT
sr:competitor:437794,"Heinonen, Adam",Sweden,SWE,HEI
sr:competitor:77011,"Martos Gornes, Sergio",Spain,ESP,MAR
sr:competitor:863319,"Fonseca, Joao",Brazil,BRA,FON
sr:competitor:185434,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD
